host,home,year,category,anti_avoidance_rule,appl_max,conduit,min_rate_max,rate_shopping,min_rate_max_no_aa,rate_shopping_no_aa,min_available,min_available_no_aa,rate_weighted_mean,advantage_over_rest,equally_more_advantageous_conduit_exists,treaty_in_place
IND,MUS,2010,technical_services,NA,0,1,0,0,0,0,0,0,9.426222861687416,9.426222861687416,1,1
IND,MUS,2011,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2011,interest_general,NA,20,1,10,10,10,10,10,10,14.538227541848142,-5.461772458151858,1,1
IND,MUS,2011,land_rich,NA,0,1,0,0,0,0,0,0,19.187685266708446,19.187685266708446,1,1
IND,MUS,2011,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2011,shares,NA,0,1,0,0,0,0,0,0,18.189089986242323,18.189089986242323,1,1
IND,MUS,2011,technical_services,NA,0,1,0,0,0,0,0,0,9.426222861687416,9.426222861687416,1,1
IND,MUS,2012,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2012,interest_general,NA,20,1,10,10,10,10,10,10,14.440230253490952,-5.559769746509048,1,1
IND,MUS,2012,land_rich,NA,0,1,0,0,0,0,0,0,19.21920085583672,19.21920085583672,1,1
IND,MUS,2012,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2012,shares,NA,0,1,0,0,0,0,0,0,18.220605575370598,18.220605575370598,1,1
IND,MUS,2012,technical_services,NA,0,1,0,0,0,0,0,0,9.398675302287206,9.398675302287206,1,1
IND,MUS,2013,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2013,interest_general,NA,20,1,10,10,10,10,10,10,14.341078214343046,-5.658921785656954,1,1
IND,MUS,2013,land_rich,NA,0,1,0,0,0,0,0,0,19.05943199918082,19.05943199918082,1,1
IND,MUS,2013,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2013,shares,NA,0,1,0,0,0,0,0,0,18.0608367187147,18.0608367187147,1,1
IND,MUS,2013,technical_services,NA,0,1,0,0,0,0,0,0,9.398675302287206,9.398675302287206,1,1
IND,MUS,2014,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2014,interest_general,NA,20,1,10,10,10,10,10,10,14.213802363156837,-5.786197636843163,1,1
IND,MUS,2014,land_rich,NA,0,1,0,0,0,0,0,0,19.05943199918082,19.05943199918082,1,1
IND,MUS,2014,royalties_general,NA,15,1,10,5,10,5,10,10,17.176888350338135,2.1768883503381353,1,1
IND,MUS,2014,shares,NA,0,1,0,0,0,0,0,0,18.0608367187147,18.0608367187147,1,1
IND,MUS,2014,technical_services,NA,0,1,0,0,0,0,0,0,15.476133520872041,15.476133520872041,1,1
IND,MUS,2015,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2015,interest_general,NA,20,1,10,10,10,10,10,10,14.165586486851346,-5.834413513148654,1,1
IND,MUS,2015,land_rich,NA,0,1,0,0,0,0,0,0,19.05943199918082,19.05943199918082,1,1
IND,MUS,2015,royalties_general,NA,15,1,10,5,10,5,10,10,17.086179934641645,2.0861799346416454,1,1
IND,MUS,2015,shares,NA,0,1,0,0,0,0,0,0,18.0608367187147,18.0608367187147,1,1
IND,MUS,2015,technical_services,NA,0,1,0,0,0,0,0,0,15.403809706413805,15.403809706413805,1,1
IND,MUS,2016,dividends_subst,NA,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2016,interest_general,NA,20,1,10,10,10,10,10,10,14.088506361307864,-5.911493638692136,1,1
IND,MUS,2016,land_rich,NA,0,1,0,0,0,0,0,0,19.15304525027622,19.15304525027622,1,1
IND,MUS,2016,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2016,shares,NA,0,1,0,0,0,0,0,0,18.154449969810102,18.154449969810102,1,1
IND,MUS,2016,technical_services,NA,0,1,0,0,0,0,0,0,9.420935629450453,9.420935629450453,1,1
IND,MUS,2017,dividends_subst,OTHER,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2017,interest_general,OTHER,7.5,1,7.5,0,7.5,0,7.5,7.5,13.984863512781658,6.484863512781658,0,1
IND,MUS,2017,land_rich,OTHER,20,1,0,20,0,20,0,0,19.42752452195303,-0.5724754780469716,1,1
IND,MUS,2017,royalties_general,OTHER,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2017,shares,OTHER,20,1,0,20,0,20,0,0,18.736113457397174,-1.263886542602826,1,1
IND,MUS,2017,technical_services,OTHER,10,1,0,10,0,10,0,0,9.513865501267128,-0.48613449873287173,1,1
IND,MUS,2018,dividends_subst,OTHER,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2018,interest_general,OTHER,7.5,1,7.5,0,7.5,0,7.5,7.5,13.984863512781658,6.484863512781658,0,1
IND,MUS,2018,land_rich,OTHER,20,1,0,20,0,20,0,0,19.42752452195303,-0.5724754780469716,1,1
IND,MUS,2018,royalties_general,OTHER,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2018,shares,OTHER,20,1,0,20,0,20,0,0,18.736113457397174,-1.263886542602826,1,1
IND,MUS,2018,technical_services,OTHER,10,1,0,10,0,10,0,0,9.513865501267128,-0.48613449873287173,1,1
IND,MUS,2019,dividends_subst,OTHER,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2019,interest_general,OTHER,7.5,1,7.5,0,7.5,0,7.5,7.5,13.984863512781658,6.484863512781658,0,1
IND,MUS,2019,land_rich,OTHER,20,1,0,20,0,20,0,0,19.42752452195303,-0.5724754780469716,1,1
IND,MUS,2019,royalties_general,OTHER,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2019,shares,OTHER,20,1,0,20,0,20,0,0,18.736113457397174,-1.263886542602826,1,1
IND,MUS,2019,technical_services,OTHER,10,1,0,10,0,10,0,0,9.513865501267128,-0.48613449873287173,1,1
IND,MUS,2020,dividends_subst,OTHER,0,1,0,0,0,0,0,0,0,0,1,1
IND,MUS,2020,interest_general,OTHER,7.5,1,7.5,0,7.5,0,7.5,7.5,13.984863512781658,6.484863512781658,0,1
IND,MUS,2020,land_rich,OTHER,20,1,0,20,0,20,0,0,19.42752452195303,-0.5724754780469716,1,1
IND,MUS,2020,royalties_general,OTHER,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2020,shares,OTHER,20,1,0,20,0,20,0,0,18.736113457397174,-1.263886542602826,1,1
IND,MUS,2020,technical_services,OTHER,10,1,0,10,0,10,0,0,9.513865501267128,-0.48613449873287173,1,1
IND,MUS,2021,dividends_subst,OTHER,5,1,5,0,5,0,5,5,13.583202656275157,8.583202656275157,1,1
IND,MUS,2021,interest_general,OTHER,7.5,1,7.5,0,7.5,0,7.5,7.5,13.984863512781658,6.484863512781658,0,1
IND,MUS,2021,land_rich,OTHER,20,1,0,20,0,20,0,0,19.42752452195303,-0.5724754780469716,1,1
IND,MUS,2021,royalties_general,OTHER,10,1,10,0,10,0,10,10,10,0,1,1
IND,MUS,2021,shares,OTHER,20,1,0,20,0,20,0,0,18.736113457397174,-1.263886542602826,1,1
IND,MUS,2021,technical_services,OTHER,10,1,0,10,0,10,0,0,9.513865501267128,-0.48613449873287173,1,1
NGA,MUS,2004,dividends_subst,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2004,interest_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2004,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2004,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2004,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2004,technical_services,NA,10,1,0,10,0,10,0,0,9.005722430619416,-0.9942775693805839,1,0
NGA,MUS,2005,dividends_subst,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2005,interest_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2005,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2005,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2005,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2005,technical_services,NA,10,1,0,10,0,10,0,0,9.005722430619416,-0.9942775693805839,1,0
NGA,MUS,2006,dividends_subst,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2006,interest_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2006,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2006,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2006,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2006,technical_services,NA,10,1,0,10,0,10,0,0,9.005722430619416,-0.9942775693805839,1,0
NGA,MUS,2007,dividends_subst,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2007,interest_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2007,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2007,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2007,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2007,technical_services,NA,10,1,0,10,0,10,0,0,9.005722430619416,-0.9942775693805839,1,0
NGA,MUS,2008,dividends_subst,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2008,interest_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2008,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2008,royalties_general,NA,10,1,10,0,10,0,10,10,10,0,1,0
NGA,MUS,2008,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2008,technical_services,NA,10,1,0,10,0,10,0,0,9.005722430619416,-0.9942775693805839,1,0
NGA,MUS,2009,dividends_subst,NA,10,1,10,0,10,0,10,10,9.988731352498801,-0.011268647501198714,1,0
NGA,MUS,2009,interest_general,NA,10,1,10,0,10,0,10,10,9.988731352498801,-0.011268647501198714,1,0
NGA,MUS,2009,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2009,royalties_general,NA,10,1,10,0,10,0,10,10,9.988731352498801,-0.011268647501198714,1,0
NGA,MUS,2009,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2009,technical_services,NA,10,1,0,10,0,10,0,0,8.960647840614621,-1.0393521593853787,1,0
NGA,MUS,2010,dividends_subst,NA,10,1,10,0,10,0,10,10,9.83596064775594,-0.1640393522440604,1,0
NGA,MUS,2010,interest_general,NA,10,1,10,0,10,0,10,10,9.83596064775594,-0.1640393522440604,1,0
NGA,MUS,2010,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2010,royalties_general,NA,10,1,10,0,10,0,10,10,9.83596064775594,-0.1640393522440604,1,0
NGA,MUS,2010,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2010,technical_services,NA,10,1,0,10,0,10,0,0,8.349565021643174,-1.6504349783568255,1,0
NGA,MUS,2011,dividends_subst,NA,10,1,7.5,2.5,7.5,2.5,7.5,7.5,9.83596064775594,-0.1640393522440604,1,0
NGA,MUS,2011,interest_general,NA,10,1,7.5,2.5,7.5,2.5,7.5,7.5,9.83596064775594,-0.1640393522440604,1,0
NGA,MUS,2011,land_rich,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2011,royalties_general,NA,10,1,7.5,2.5,7.5,2.5,7.5,7.5,9.83596064775594,-0.1640393522440604,1,0
NGA,MUS,2011,shares,NA,0,1,0,0,0,0,0,0,0,0,1,0
NGA,MUS,2011,technical_services,NA,10,1,0,10,0,10,0,0,8.349565021643174,-1.6504349783568255,1,0
NGA,MUS,2012,dividends_subst,PARTIAL,7.5,1,7.5,0,7.5,0,7.5,7.5,9.830923739508936,2.330923739508936,1,1
NGA,MUS,2012,interest_general,PARTIAL,7.5,1,7.5,0,7.5,0,7.5,7.5,9.830923739508936,2.330923739508936,1,1
