year,value,host,type_fdi,home,indicator
2014,60.88520687419626,IND,total,ESP,million_USD
2015,66.5818998420053,IND,total,ESP,million_USD
2016,58.12351052277952,IND,total,ESP,million_USD
2017,73.31626762584078,IND,total,ESP,million_USD
2018,252.05102193858332,IND,total,ESP,million_USD
2019,1.5896542613928955,IND,total,ESP,million_USD
2007,7.9213674089179795,IDN,total,ESP,million_USD
2008,27.841387921867618,IDN,total,ESP,million_USD
2009,23.334700219538664,IDN,total,ESP,million_USD
2010,26.15638949024869,IDN,total,ESP,million_USD
2011,36.51098113344116,IDN,total,ESP,million_USD
2012,49.00184752639599,IDN,total,ESP,million_USD
2013,15.472577678316474,IDN,total,ESP,million_USD
2014,17.775345144594063,IDN,total,ESP,million_USD
2015,14.989526193392628,IDN,total,ESP,million_USD
2016,17.190213643472976,IDN,total,ESP,million_USD
2017,2.733826928421181,IDN,total,ESP,million_USD
2018,51.04083384803248,IDN,total,ESP,million_USD
2019,46.335063295107,IDN,total,ESP,million_USD
2007,NA,JOR,total,ESP,million_USD
2008,NA,JOR,total,ESP,million_USD
2009,NA,JOR,total,ESP,million_USD
2010,NA,JOR,total,ESP,million_USD
2011,NA,JOR,total,ESP,million_USD
2012,NA,JOR,total,ESP,million_USD
2013,NA,JOR,total,ESP,million_USD
2014,NA,JOR,total,ESP,million_USD
2015,NA,JOR,total,ESP,million_USD
2016,NA,JOR,total,ESP,million_USD
2017,NA,JOR,total,ESP,million_USD
2018,NA,JOR,total,ESP,million_USD
2019,NA,JOR,total,ESP,million_USD
2007,NA,KEN,total,ESP,million_USD
2008,NA,KEN,total,ESP,million_USD
2009,NA,KEN,total,ESP,million_USD
2010,NA,KEN,total,ESP,million_USD
2011,NA,KEN,total,ESP,million_USD
2012,NA,KEN,total,ESP,million_USD
2013,NA,KEN,total,ESP,million_USD
2014,NA,KEN,total,ESP,million_USD
2015,NA,KEN,total,ESP,million_USD
2016,NA,KEN,total,ESP,million_USD
2017,NA,KEN,total,ESP,million_USD
2018,NA,KEN,total,ESP,million_USD
2019,NA,KEN,total,ESP,million_USD
2007,NA,LSO,total,ESP,million_USD
2008,NA,LSO,total,ESP,million_USD
2009,NA,LSO,total,ESP,million_USD
2010,NA,LSO,total,ESP,million_USD
2011,NA,LSO,total,ESP,million_USD
2012,NA,LSO,total,ESP,million_USD
2013,NA,LSO,total,ESP,million_USD
2014,NA,LSO,total,ESP,million_USD
2015,NA,LSO,total,ESP,million_USD
2016,NA,LSO,total,ESP,million_USD
2017,NA,LSO,total,ESP,million_USD
2018,NA,LSO,total,ESP,million_USD
2019,NA,LSO,total,ESP,million_USD
2007,NA,LBN,total,ESP,million_USD
2008,NA,LBN,total,ESP,million_USD
2009,NA,LBN,total,ESP,million_USD
2010,NA,LBN,total,ESP,million_USD
2011,0,LBN,total,ESP,million_USD
2012,0,LBN,total,ESP,million_USD
2013,NA,LBN,total,ESP,million_USD
2014,NA,LBN,total,ESP,million_USD
2015,NA,LBN,total,ESP,million_USD
2016,NA,LBN,total,ESP,million_USD
2017,NA,LBN,total,ESP,million_USD
2018,0,LBN,total,ESP,million_USD
2019,NA,LBN,total,ESP,million_USD
2007,1.6993937001830959,MKD,total,ESP,million_USD
2008,4.088698279069836,MKD,total,ESP,million_USD
2009,5.9417706476530014,MKD,total,ESP,million_USD
2010,5.925953422271244,MKD,total,ESP,million_USD
2011,7.69751146274989,MKD,total,ESP,million_USD
2012,10.612356071526767,MKD,total,ESP,million_USD
2013,15.432734130646994,MKD,total,ESP,million_USD
2014,16.114718729740357,MKD,total,ESP,million_USD
2015,17.508121638174362,MKD,total,ESP,million_USD
2016,18.9059142968782,MKD,total,ESP,million_USD
2017,23.28271611353741,MKD,total,ESP,million_USD
2018,NA,MKD,total,ESP,million_USD
2019,NA,MKD,total,ESP,million_USD
2007,NA,MDV,total,ESP,million_USD
2008,NA,MDV,total,ESP,million_USD
2009,NA,MDV,total,ESP,million_USD
2010,NA,MDV,total,ESP,million_USD
2011,NA,MDV,total,ESP,million_USD
2012,NA,MDV,total,ESP,million_USD
2013,NA,MDV,total,ESP,million_USD
2014,NA,MDV,total,ESP,million_USD
2015,NA,MDV,total,ESP,million_USD
2016,NA,MDV,total,ESP,million_USD
2017,NA,MDV,total,ESP,million_USD
2018,NA,MDV,total,ESP,million_USD
2019,NA,MDV,total,ESP,million_USD
2007,85.91531537457927,MAR,total,ESP,million_USD
2008,85.18611666321038,MAR,total,ESP,million_USD
2009,79.47466936696432,MAR,total,ESP,million_USD
2010,81.70391709498362,MAR,total,ESP,million_USD
2011,69.26368361418346,MAR,total,ESP,million_USD
2012,0,MAR,total,ESP,million_USD
2013,0.42499784180783456,MAR,total,ESP,million_USD
2014,0.4251203622025486,MAR,total,ESP,million_USD
2015,0.3994248282473239,MAR,total,ESP,million_USD
2016,0.30993302126029837,MAR,total,ESP,million_USD
2017,16.131838238782837,MAR,total,ESP,million_USD
2018,0.6259056441336699,MAR,total,ESP,million_USD
2019,0.7612428857374428,MAR,total,ESP,million_USD
2007,NA,MUS,total,ESP,million_USD
2008,NA,MUS,total,ESP,million_USD
2009,NA,MUS,total,ESP,million_USD
2010,0,MUS,total,ESP,million_USD
2011,NA,MUS,total,ESP,million_USD
2012,NA,MUS,total,ESP,million_USD
2013,NA,MUS,total,ESP,million_USD
2014,NA,MUS,total,ESP,million_USD
2015,NA,MUS,total,ESP,million_USD
2016,NA,MUS,total,ESP,million_USD
2017,NA,MUS,total,ESP,million_USD
2018,NA,MUS,total,ESP,million_USD
2019,NA,MUS,total,ESP,million_USD
2007,NA,MRT,total,ESP,million_USD
2008,NA,MRT,total,ESP,million_USD
2009,NA,MRT,total,ESP,million_USD
2010,NA,MRT,total,ESP,million_USD
2011,NA,MRT,total,ESP,million_USD
2012,NA,MRT,total,ESP,million_USD
2013,NA,MRT,total,ESP,million_USD
2014,NA,MRT,total,ESP,million_USD
2015,0,MRT,total,ESP,million_USD
2016,NA,MRT,total,ESP,million_USD
2017,0,MRT,total,ESP,million_USD
2018,NA,MRT,total,ESP,million_USD
2019,NA,MRT,total,ESP,million_USD
2007,391.6554287405848,MEX,total,ESP,million_USD
2008,702.1383303697623,MEX,total,ESP,million_USD
2009,902.8841298932433,MEX,total,ESP,million_USD
2010,1964.8181315614688,MEX,total,ESP,million_USD
2011,1773.0027532871018,MEX,total,ESP,million_USD
2012,1908.990695558999,MEX,total,ESP,million_USD
2013,1953.7549223382855,MEX,total,ESP,million_USD
2014,1915.658777141278,MEX,total,ESP,million_USD
2015,1699.8633079476663,MEX,total,ESP,million_USD
2016,2542.491263762963,MEX,total,ESP,million_USD
2017,3378.931005890154,MEX,total,ESP,million_USD
2018,4305.144353917756,MEX,total,ESP,million_USD
2019,4542.974399849542,MEX,total,ESP,million_USD
2007,NA,MDA,total,ESP,million_USD
2008,NA,MDA,total,ESP,million_USD
2009,NA,MDA,total,ESP,million_USD
2010,NA,MDA,total,ESP,million_USD
2011,NA,MDA,total,ESP,million_USD
2012,NA,MDA,total,ESP,million_USD
2013,NA,MDA,total,ESP,million_USD
2014,NA,MDA,total,ESP,million_USD
2015,NA,MDA,total,ESP,million_USD
2016,NA,MDA,total,ESP,million_USD
2017,NA,MDA,total,ESP,million_USD
2018,NA,MDA,total,ESP,million_USD
2019,NA,MDA,total,ESP,million_USD
2007,40.68951528906139,MOZ,total,ESP,million_USD
2008,40.07806766354425,MOZ,total,ESP,million_USD
2009,32.1357736436444,MOZ,total,ESP,million_USD
2010,33.659945725160384,MOZ,total,ESP,million_USD
2011,56.889203161408325,MOZ,total,ESP,million_USD
2012,53.30589024305636,MOZ,total,ESP,million_USD
2013,58.55673389158571,MOZ,total,ESP,million_USD
2014,62.17385297212274,MOZ,total,ESP,million_USD
2015,35.204860556354404,MOZ,total,ESP,million_USD
2016,1.7489077628259693,MOZ,total,ESP,million_USD
2017,NA,MOZ,total,ESP,million_USD
2018,NA,MOZ,total,ESP,million_USD
2019,NA,MOZ,total,ESP,million_USD
2007,NA,"NAM",total,ESP,million_USD
2008,NA,"NAM",total,ESP,million_USD
2009,NA,"NAM",total,ESP,million_USD
2010,NA,"NAM",total,ESP,million_USD
2011,NA,"NAM",total,ESP,million_USD
2012,NA,"NAM",total,ESP,million_USD
2013,NA,"NAM",total,ESP,million_USD
2014,NA,"NAM",total,ESP,million_USD
2015,NA,"NAM",total,ESP,million_USD
2016,NA,"NAM",total,ESP,million_USD
2017,NA,"NAM",total,ESP,million_USD
2018,NA,"NAM",total,ESP,million_USD
2019,NA,"NAM",total,ESP,million_USD
2007,NA,NIC,total,ESP,million_USD
2008,0,NIC,total,ESP,million_USD
